Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-May-24,EQ,6725.00,6758.00,6725.00,6727.40,6739.00,6738.00,6740.49,8192.00,6187.80,49892.00,336296646.75,5268.00
17-May-24,EQ,6747.00,6780.00,6701.05,6747.15,6731.95,6727.40,6739.52,8192.00,6187.80,480158.00,3236035649.30,62588.00
16-May-24,EQ,6700.35,6762.10,6623.05,6680.00,6731.00,6747.15,6684.20,8192.00,6187.80,1059851.00,7084252921.10,136756.00
15-May-24,EQ,6692.00,6731.95,6645.05,6675.70,6681.00,6680.00,6675.87,8192.00,6187.80,595059.00,3972536173.30,66399.00
14-May-24,EQ,6710.00,6741.85,6657.60,6718.75,6682.00,6675.70,6689.29,8192.00,6187.80,755840.00,5056031121.20,80752.00
13-May-24,EQ,6684.00,6744.30,6620.00,6684.15,6725.00,6718.75,6688.00,8192.00,6187.80,512256.00,3425968285.35,57932.00
10-May-24,EQ,6638.90,6698.00,6601.20,6605.15,6675.00,6684.15,6653.91,8192.00,6187.80,824908.00,5488863432.75,89183.00
09-May-24,EQ,6799.90,6832.70,6585.00,6799.45,6604.40,6605.15,6689.68,8192.00,6187.80,1381115.00,9239214211.75,199714.00
08-May-24,EQ,6871.50,6879.55,6785.00,6872.55,6805.90,6799.45,6823.03,8192.00,6187.80,725925.00,4953005007.50,78311.00
07-May-24,EQ,6889.95,6943.10,6788.00,6859.85,6880.00,6872.55,6860.79,8192.00,6187.80,1298126.00,8906168074.60,158816.00
06-May-24,EQ,7007.95,7019.95,6845.00,6931.50,6868.00,6859.85,6917.67,8192.00,6187.80,1229988.00,8508647259.10,134596.00
03-May-24,EQ,7329.00,7400.00,6906.95,6882.70,6927.00,6931.50,7142.34,8192.00,6155.95,6818601.00,48700767184.40,620830.00
02-May-24,EQ,6937.85,6969.95,6865.00,6923.55,6895.00,6882.70,6907.16,8192.00,6155.95,1139572.00,7871203308.15,141680.00
30-Apr-24,EQ,6829.95,6975.00,6821.95,6826.60,6903.05,6923.55,6906.11,8192.00,6155.95,1798675.00,12421845001.05,178938.00
29-Apr-24,EQ,6789.95,6839.60,6713.05,6731.20,6820.00,6826.60,6783.41,8192.00,6155.95,1681030.00,11403121434.25,168091.00
26-Apr-24,EQ,7000.00,7000.00,6691.50,7294.90,6730.80,6731.20,6789.81,8192.00,5877.00,5814723.00,39480873196.00,571297.00
25-Apr-24,EQ,7330.00,7364.85,7125.10,7329.15,7296.00,7294.90,7275.33,8192.00,5877.00,1173354.00,8536537811.90,128179.00
24-Apr-24,EQ,7283.00,7419.45,7250.00,7259.90,7317.15,7329.15,7330.78,8192.00,5877.00,886929.00,6501881232.00,68112.00
23-Apr-24,EQ,7309.00,7339.90,7236.80,7292.20,7241.00,7259.90,7281.84,8192.00,5877.00,1081567.00,7875796849.70,83420.00
22-Apr-24,EQ,7167.30,7306.00,7167.30,7119.50,7300.00,7292.20,7259.62,8192.00,5877.00,1165272.00,8459436651.10,83119.00
